symbol,raw_d_json,raw_d_len,exported_at_utc
NASDAQ:NVDA,"[[""common""], 0.20663853482402852, -0.17551462621885205, 0.8360691617421865, 1.319493314567206, 6.225214424052384, 7.378921362979543, 28.091637010676163, 21.34748597466221, 35.053057395790596, 1.1687458962573938, -0.20402847716618652, 0.8472847761107444, 2.747898793711624, 1.1556139198949509, 5551675925838.097, 131881678, 658126815, 533424155, 30380263344.08, 151606093103.4, 122879588345.8, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""nvidia"", ""style"": ""single""}, 230.345, 100, ""NVDA"", ""NVIDIA Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:AAPL,"[[""common""], -0.5593710183660185, -0.5269129738719533, -2.510587733463317, 0.9862866701383957, 3.4296612361003405, 2.2725819855526477, 23.71727951127094, 17.52584892839435, 34.18746068358148, 0.027421467962594627, -0.008407038159831208, 1.0071173783139782, 3.4826653243566326, 0.028944882849403518, 4669699553033.864, 38061509, 203473829, 162231105, 12178541034.730001, 65105521065.130005, 51909086666.850006, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""apple"", ""style"": ""single""}, 319.99, 100, ""AAPL"", ""Apple Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:GOOGL,"[[""common""], -0.33866360396971973, -0.0885687293339665, -1.1737911702873272, -0.6589278114497893, -11.707622476130851, -7.610416552928973, 14.309838224864063, 6.803408015146735, 47.38079686479424, 0.0467180565288391, 0.011818235537440309, 0.8772256240842412, 1.9104690142098544, -0.004379817799592151, 4120794575921.875, 20802706, 120948193, 87454561, 7040883872.759999, 40936125402.78, 29599870716.059998, ""Technology Services"", ""Servicios tecnológicos"", {""logoid"": ""alphabet"", ""style"": ""single""}, 338.42, 100, ""GOOGL"", ""Alphabet Inc. Class A"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:MSFT,"[[""common""], -0.06799728010879065, -0.24455735119433145, -2.0426566298125963, -1.114123444086042, 0.67391282449053, 16.659662884624368, 22.116324535679375, 3.161741176956346, -0.9121554630180493, -0.003920646122477419, -0.040024014408642915, 0.7707486555750696, 2.3309836590836244, -0.0235238767348868, 3710545005937.796, 17390640, 105108410, 77899499, 8690102808, 52522672477, 38926379650.299995, ""Technology Services"", ""Servicios tecnológicos"", {""logoid"": ""microsoft"", ""style"": ""single""}, 499.68, 100, ""MSFT"", ""Microsoft Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:AMZN,"[[""common""], 0.025150418851205374, 0.6345375272500761, -0.15063731170335512, 0.07355218333849402, -8.19631378955218, 1.6735167450000965, 20.24280199079026, 11.7446183107115, 11.819538464865795, 0.07724990343763828, -0.18772968163707213, 0.9210466396294968, 2.2836773865016307, 0.06566241792198375, 2788370083542.4517, 29937828, 158632171, 112542749, 7739227916.28, 41008002525.21, 29093426043.989998, ""Retail Trade"", ""Comercio minorista"", {""logoid"": ""amazon"", ""style"": ""single""}, 258.51, 100, ""AMZN"", ""Amazon.com, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:AVGO,"[[""common""], 0.4603767229037381, 0.8823363590235089, 0.20579012207412833, -4.203693790149904, -15.130424472373727, -12.19563057371721, 9.021262337029368, 1.4513500106300063, 17.31954369632203, 0.848359278754612, -0.2640439234971132, 1.2755115335966554, 1.826406559230997, 0.7111658640385159, 1702714139519.2761, 32300794, 172654892, 150706904, 11560292668.63, 61792322572.34, 53937247407.079994, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""broadcom"", ""style"": ""single""}, 357.87, 100, ""AVGO"", ""Broadcom Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:META,"[[""common""], -0.043499513142564686, 1.1894995898277276, 0.9972489683631415, 7.91181873851807, 2.717106194469184, -1.0730439803676346, -4.804753820033955, -6.934248745709009, -17.60690382996915, 0.2587279753717235, -0.21278596559495844, 0.9540113468382382, 2.01397723330085, 0.2734656448549278, 1571225339403.8027, 15718097, 81188566, 67804812, 9694450686.69, 50074671851.82, 41819973897.24, ""Technology Services"", ""Servicios tecnológicos"", {""logoid"": ""meta-platforms"", ""style"": ""single""}, 616.75, 100, ""META"", ""Meta Platforms Inc Class A"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:TSLA,"[[""common""], -0.2142877280031479, 0.5039823951160651, -5.921113812389575, -0.8443131379604988, 9.47993321377774, -15.795481569560051, -11.055289004998867, -22.656181738750554, 5.333928305815858, -3.8327155819483774, -0.21181653863533664, 1.551400616558686, 7.1287979253108436, -3.798174644294771, 1398455780550.3376, 64443651, 259922731, 198190473, 22818207946.079998, 92033440592.48, 70175282679.84, ""Consumer Durables"", ""Bienes de consumo duraderos"", {""logoid"": ""tesla"", ""style"": ""single""}, 353.9499, 100, ""TSLA"", ""Tesla, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:MU,"[[""common""], 1.253510377749074, 1.5610146595286958, 6.0981464473574425, 10.584255240457317, 14.83000112956061, 7.644006776789502, 167.42515915189142, 244.4608216857264, 755.3554901135886, 1.340068464557071, -0.34711142151703944, 1.4647983173597432, 6.151702786377711, 1.3750313100108613, 1148129665197.5, 34773790, 130721873, 108152395, 35350687176.1, 132890548873.07, 109946643233.05, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""micron-technology"", ""style"": ""single""}, 1014.95, 100, ""MU"", ""Micron Technology, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:LLY,"[[""common""], 0.4435191098125266, 0.3842438177836241, -0.8830631252155925, -1.9869356846827027, -2.098807495741065, 0.5590697918580428, 17.883076923076914, 6.778149386845021, 56.09623598595707, -0.7390479475681215, -0.03132177907704287, 0.8585732010543782, 1.8706744935017359, -0.7752673335632986, 1081958122718.946, 2153806, 12734475, 9676590, 2475498464.16, 14636496185.999998, 11121885482.4, ""Health Technology"", ""Tecnologías sanitarias"", {""logoid"": ""eli-lilly"", ""style"": ""single""}, 1148.2, 100, ""LLY"", ""Eli Lilly and Company"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
